"yellow",*
"orange",*
"Dorada",*
5.437135,-74.676454
5.436227,-74.676438
5.435639,-74.676427
5.435233,-74.676293
5.434128,-74.675918
5.433263,-74.675628
5.433124,-74.675569
5.432542,-74.675301
5.431671,-74.674909
5.430865,-74.674555
5.430117,-74.674255
5.429231,-74.673911
5.428136,-74.673530
5.427650,-74.673359
5.426817,-74.672930
5.426096,-74.672554
5.425274,-74.671964
5.424008,-74.670977
5.422983,-74.670124
5.421899,-74.669276
5.420996,-74.668563
5.420804,-74.668434
5.420350,-74.668187
5.419106,-74.667501
5.418187,-74.667018
5.416980,-74.666498
5.416569,-74.666321
5.415495,-74.666058
5.414705,-74.665875
5.412921,-74.665774
5.412222,-74.665784
5.410774,-74.665806
5.408857,-74.665977
5.408761,-74.665977
5.408574,-74.666020
5.407490,-74.666278
5.406481,-74.666530
5.406336,-74.666551
5.405039,-74.667238
5.404521,-74.668220
5.404440,-74.668429
5.404339,-74.668837
5.404115,-74.669566
5.403757,-74.670966
5.403490,-74.671996
5.403340,-74.672559
5.403095,-74.674099
5.402977,-74.675252
5.402822,-74.676792
5.402662,-74.678138
5.402582,-74.679008
5.402443,-74.680295
5.402331,-74.681287
5.402053,-74.682081
5.401418,-74.682961
5.400526,-74.683701
5.399378,-74.684259
5.399308,-74.684291
5.397941,-74.684511
5.396066,-74.684522
5.396008,-74.684528
5.395885,-74.684506
5.393615,-74.684055
5.391906,-74.683696
5.390064,-74.683304
5.389033,-74.683095
5.388306,-74.682956
5.387666,-74.682736
5.387035,-74.682521
5.386838,-74.682414
5.385182,-74.681545
5.384723,-74.681287
5.382613,-74.679866
5.380845,-74.678670
5.379152,-74.677961
5.378405,-74.677854
5.377566,-74.677725
5.376258,-74.678015
5.374639,-74.678519
5.374185,-74.678653
5.372941,-74.679329
5.371616,-74.680322
5.370949,-74.680853
5.370361,-74.681400
5.370078,-74.681695
5.368973,-74.682806
5.367413,-74.684522
5.366858,-74.685139
5.366655,-74.685397
5.366233,-74.686019
5.365202,-74.687505
5.364353,-74.689130
5.363942,-74.689935
5.363445,-74.691710
5.363429,-74.691786
5.363397,-74.693465
5.363723,-74.695396
5.364572,-74.696930
5.365645,-74.697992
5.366382,-74.698673
5.368188,-74.700261
5.369031,-74.701007
5.369315,-74.701238
5.369747,-74.701549
5.371237,-74.702659
5.371355,-74.702756
5.372370,-74.704059
5.372305,-74.705143
5.372311,-74.705181
5.371510,-74.706758
5.371248,-74.707262
5.369875,-74.707750
5.368428,-74.707621
5.368385,-74.707621
5.367835,-74.707423
5.366874,-74.707042
5.366179,-74.706731
5.366057,-74.706688
5.364785,-74.705744
5.363562,-74.704767
5.363012,-74.704333
5.361805,-74.703276
5.360235,-74.701892
5.359733,-74.701436
5.359450,-74.701200
5.358232,-74.700417
5.357570,-74.699988
5.356384,-74.699451
5.356320,-74.699430
5.354584,-74.699371
5.354525,-74.699365
5.353153,-74.699746
5.351839,-74.700583
5.351796,-74.700599
5.351668,-74.700728
5.349719,-74.702665
5.347935,-74.704574
5.346621,-74.705797
5.344912,-74.707085
5.343032,-74.708158
5.342519,-74.708437
5.340959,-74.709027
5.339538,-74.709456
5.336857,-74.709853
5.334646,-74.710132
5.332627,-74.710304
5.330202,-74.710690
5.329732,-74.710776
5.326997,-74.711591
5.324540,-74.712428
5.324017,-74.712600
5.321880,-74.712921
5.320267,-74.713157
5.319594,-74.713275
5.317265,-74.713866
5.315834,-74.714284
5.315086,-74.714584
5.315022,-74.714606
5.314995,-74.714622
5.314210,-74.715067
5.314013,-74.715180
5.313158,-74.716237
5.312923,-74.716521
5.312853,-74.716623
5.312068,-74.717932
5.311438,-74.718994
5.310610,-74.720335
5.309857,-74.721531
5.308821,-74.722867
5.308393,-74.723398
5.307512,-74.724659
5.307021,-74.725356
5.306679,-74.725860
5.306422,-74.726139
5.305568,-74.727078
5.305386,-74.727277
5.304644,-74.727942
5.303971,-74.728548
5.303522,-74.728886
5.302854,-74.729363
5.302219,-74.729835
5.301978,-74.730012
5.300947,-74.730479
5.299895,-74.730962
5.298603,-74.731557
5.297037,-74.732276
5.296087,-74.732705
5.295029,-74.733054
5.294500,-74.733226
5.294383,-74.733263
5.293074,-74.733387
5.290879,-74.733472
5.290318,-74.733499
5.289709,-74.733553
5.288934,-74.733623
5.288528,-74.733666
5.287524,-74.733805
5.287343,-74.733832
5.286483,-74.733859
5.286301,-74.733853
5.286312,-74.734449
5.286483,-74.735071
5.286878,-74.735699
5.287022,-74.735919
5.287070,-74.735978
5.287391,-74.736573
5.287417,-74.736611
5.287359,-74.736975
5.287364,-74.737008
5.287348,-74.737018
5.287332,-74.737040
5.287065,-74.737308
5.286990,-74.737383
5.286910,-74.737458
5.286873,-74.737480
5.286579,-74.737651
5.286274,-74.737984
5.286248,-74.738016
5.286194,-74.738461
5.286077,-74.739009
5.286077,-74.739051
5.285761,-74.739642
5.285366,-74.740087
5.285227,-74.740312
5.285067,-74.740661
5.285046,-74.740688
5.285030,-74.740720
5.284998,-74.741203
5.285030,-74.741616
5.285056,-74.741879
5.285062,-74.741959
5.285217,-74.742383
5.285254,-74.742495
5.285671,-74.742930
5.285719,-74.742957
5.286130,-74.742994
5.286173,-74.743005
5.286905,-74.742833
5.287711,-74.742436
5.288518,-74.741895
5.288576,-74.741862
5.289314,-74.741696
5.289383,-74.741685
5.290013,-74.741755
5.290419,-74.742088
5.290462,-74.742109
5.290628,-74.742528
5.290542,-74.743123
5.290259,-74.743804
5.290232,-74.743869
5.289266,-74.745017
5.288512,-74.745746
5.288448,-74.745800
5.288133,-74.746218
5.288106,-74.746245
5.287989,-74.746567
5.287733,-74.747103
5.287679,-74.747211
5.287369,-74.747468
5.286985,-74.747618
5.286199,-74.747613
5.286162,-74.747613
5.285804,-74.747812
5.285772,-74.747833
5.285575,-74.748150
5.285564,-74.748192
5.285542,-74.748831
5.285542,-74.748868
5.285372,-74.749432
5.285350,-74.749464
5.285094,-74.750016
5.284763,-74.750499
5.284351,-74.751003
5.283881,-74.751363
5.283470,-74.751561
5.283224,-74.751706
5.282861,-74.751969
5.282540,-74.752344
5.282444,-74.752452
5.282418,-74.752484
5.282092,-74.753122
5.282113,-74.753155
5.283155,-74.753739
5.283187,-74.753761
5.283577,-74.754689
5.284202,-74.754812
5.284795,-74.755113
5.285404,-74.755611
5.285633,-74.756164
5.285655,-74.756202
5.285639,-74.756792
5.285617,-74.756835
5.285275,-74.757934
5.285270,-74.757988
5.285494,-74.759082
5.285980,-74.759753
5.286808,-74.760504
5.287962,-74.761437
5.288774,-74.762167
5.289079,-74.763165
5.288940,-74.763980
5.288336,-74.764650
5.287850,-74.765133
5.287519,-74.765659
5.287722,-74.766190
5.288721,-74.766802
5.290510,-74.767966
5.290670,-74.768073
5.291947,-74.769108
5.292476,-74.769736
5.293058,-74.770219
5.293833,-74.770578
5.293998,-74.770637
5.294698,-74.770868
5.295195,-74.771082
5.295237,-74.771093
5.296167,-74.771968
5.296765,-74.772289
5.297481,-74.772761
5.297524,-74.772794
5.298058,-74.773448
5.298752,-74.774382
5.299046,-74.774950
5.299062,-74.774988
5.298971,-74.775540
5.298661,-74.776313
5.298640,-74.776350
5.298170,-74.776967
5.297897,-74.777337
5.297454,-74.777970
5.297363,-74.778104
5.297043,-74.778829
5.296979,-74.779311
5.297118,-74.779655
5.297139,-74.779687
5.297449,-74.779950
5.298090,-74.780411
5.298122,-74.780438
5.298677,-74.780990
5.298768,-74.781098
5.298800,-74.781135
5.299217,-74.781666
5.299238,-74.781688
5.299142,-74.782337
5.298683,-74.782814
5.298570,-74.782927
5.297134,-74.784129
5.297080,-74.784182
5.297048,-74.784198
5.296867,-74.784697
5.296867,-74.784729
5.297294,-74.785432
5.297545,-74.785706
5.297951,-74.786162
5.298448,-74.786865
5.298474,-74.786891
5.298565,-74.787712
5.298384,-74.788436
5.298026,-74.789568
5.303100,-74.790974
5.305664,-74.790802
5.308741,-74.791832
5.310792,-74.793205
5.312501,-74.794922
5.311817,-74.799557
5.311475,-74.801960
5.310792,-74.804363
5.310621,-74.806938
5.310963,-74.809170
5.312672,-74.810886
5.314894,-74.811230
5.317116,-74.810543
5.319338,-74.806423
5.322927,-74.799900
5.324295,-74.798012
5.331302,-74.791489
5.334721,-74.788227
5.339335,-74.782562
5.341216,-74.780846
5.349249,-74.776039
5.353521,-74.773636
5.355230,-74.771919
5.356940,-74.770374
5.358307,-74.768143
5.358991,-74.766083
5.359845,-74.764881
5.360187,-74.765739
5.360700,-74.768143
5.361383,-74.769173
5.362409,-74.769173
5.363605,-74.770031
5.364801,-74.769688
5.365314,-74.768486
5.366340,-74.768143
5.367878,-74.768314
5.368391,-74.768829
5.368732,-74.770203
5.368561,-74.771233
5.367878,-74.772778
5.367707,-74.773464
5.367365,-74.774837
5.367023,-74.775867
5.366340,-74.777069
5.365827,-74.777756
5.364801,-74.778614
5.365314,-74.779816
5.365485,-74.782219
5.367194,-74.783764
5.368561,-74.785652
5.368561,-74.786425
5.368732,-74.787626
5.368903,-74.788399
5.368476,-74.789944
5.368305,-74.791145
5.367963,-74.796553
5.368732,-74.796038
5.369843,-74.795780
5.370869,-74.796038
5.371638,-74.795866
5.371638,-74.795437
5.371552,-74.794664
5.371638,-74.794235
5.371211,-74.792089
5.371552,-74.791403
5.371980,-74.791231
5.373005,-74.791660
5.373347,-74.794064
5.373945,-74.794235
5.374372,-74.793806
5.375056,-74.794836
5.375569,-74.794321
5.375654,-74.793892
5.375740,-74.793034
5.375227,-74.790802
5.375910,-74.789257
5.375996,-74.788141
5.376423,-74.787970
5.376936,-74.788656
5.379329,-74.788656
5.380269,-74.788141
5.380525,-74.787455
5.380269,-74.787025
5.375996,-74.784536
5.375740,-74.784021
5.375825,-74.783506
5.376936,-74.782906
5.378132,-74.782648
5.379243,-74.782305
5.379841,-74.781275
5.380354,-74.780159
5.381209,-74.779816
5.382063,-74.780931
5.382832,-74.781618
5.384883,-74.781275
5.384968,-74.780846
5.385139,-74.778957
5.385225,-74.778442
